Rank,City,Population,
269,Flagler,551,
270,Naturita,541,
271,Mountain View,537,
272,Chacra,531,
273,Walsh,517,
274,Rockvale,512,
275,Loghill Village,508,
276,Grand Lake and Saguache,504,
277,Allenspark and De Beque,503,
278,Granada,500,
279,Otis,485,
280,Aguilar and Johnson Village,484,
281,Downieville-Lawson-Dumont,467,
282,Copper Mountain,465,
283,Yampa,464,
284,Nunn,463,
285,Fort Garland,439,
286,Coaldale,436,
287,Heeney,430,
288,Morrison and Crawford,424,
289,Manzanola,419,
290,Victor,415,
291,Romeo,406,
292,Fleming,404,
293,Idledale,400,
294,Blanca,397,
295,Wiley,393,
296,Mulford,392,
297,Lake City,387,
298,Tabernash,386,
299,Altona,385,
300,St. Mary's,377,
301,Boone,362,
302,Sugarloaf,359,
303,South Fork,351,
304,Coal Creek town,348,
305,Crisman,344,
306,Morgan Heights,336,
307,North La Junta,334,
308,"Olney Springs, Red Feather Lakes, and Dinosaur",329,
309,St. Ann Highlands and City of Creede,317,
310,Alma,312,
311,Ovid,308,
312,Empire,303,
313,Arboles,299,
314,"Merino, Louviers, and Red Cliff",279,
315,East Pleasant View,276,
316,Comanche Creek,270,
317,Catherine,269,
318,Jamestown and El Moro,268,
319,Garden City,265,
320,Iliff,263,
321,Brookside,260,
322,Eckley and Redvale,258,
323,Peyton and Hillrose,254,
324,Cheraw,250,
325,Sugar City,246,
326,Alpine,244,
327,Kit Carson,238,
328,Bethune,237,
329,Peoria,236,
330,Peetz,234,
331,Franktown and Jackson Lake,233,
332,Rico,232,
333,Phippsburg and Vineland,227,
334,Amherst,221,
335,Woody Creek,217,
336,Seibert,216,
337,Sunshine,215,
338,Larkspur,205,
339,Arriba,202,
340,Midland,201,
341,Bonanza Mountain Estates,195,
342,Atwood,191,
343,Bark Ranch,187,
344,Ophir,179,
345,Silver Plume,176,
346,Tall Timber,174,
347,Crowley,167,
348,Ward and Southern Ute,164,
349,Rye,162,
350,Sedalia,161,
351,Elbert,154,
352,Gold Hill and Grover,153,
353,Rollinsville,152,
354,Hasty,150,
355,Twin Lakes CDP,149,
356,Crestone,146,
357,Genoa,145,
358,Marble,144,
359,Lewis and Sedgwick,140,
360,Glendale CDP and Pritchett,132,
361,Brick Center,131,
362,Weldona,130,
363,Ramah and Westcreek,129,
364,Segundo and Black Hawk,127,
365,Maysville and Cokedale,121,
366,Moffat,120,
367,Mountain Meadows,119,
368,Snyder,118,
369,Capulin,113,
370,Raymer (New Raymer),110,
371,Orchard,109,
372,Crook,108,
373,Vilas,107,
